fen,eval
1B1k4/8/6R1/5n2/2P5/3K4/3P4/8 w - - 5 40,+1137
8/R3k3/8/p1P5/2p1p3/4P3/8/3K1n2 b - - 0 45,+98
5R2/1npk4/4p1p1/8/1P5p/B2K2P1/2Pb3P/1N2R3 b - - 0 30,+874
2kr4/4b3/1P2p3/p4r2/P4N2/8/8/RK6 w - - 4 50,-902
1rbk4/1p6/p5R1/5R2/8/2N5/P1PP4/1K2Q3 b - - 5 23,#+6
2b1k3/rp1pp1b1/6p1/2P2p2/2N2NPr/1Q3P1B/5K2/2B4R b - - 2 21,+1343
rn2kb1r/p3p1p1/3q1p2/8/7N/P1P1B2b/3RP1P1/1N2KB1n w q - 1 18,-868
r2qkb1B/p1p1pp2/3p2Qn/1p6/2b5/5N1P/PPPKP1P1/RN3B1R b q - 0 10,-350
rq2k3/1b2p3/n1p4n/3p1p1P/P2B1P2/2pN3R/1PPQB3/R3K3 w Qq - 0 23,+1180
1n6/rp3pk1/p4n2/P3Pp2/2P3b1/5N2/PB2K3/R1Q5 w - - 5 25,#+7
2b1kb1r/2pp1pBp/4pq2/rP1n4/6P1/1PPQ1P2/5P1P/1N2KBNR w Kk - 0 14,+750
7r/1k3p2/4pPpp/6R1/4PP2/7N/5K2/5B2 b - - 5 36,+587
r1b4r/p1ppkppp/2n5/1p2p3/2P4P/PP3B2/R3PK2/1NBQ3R w - - 0 14,+1577
rn3b2/pb6/1pP5/5P2/8/3Pk2B/PB3n2/RN2K1N1 w Q - 1 24,+1916
rn4n1/p1kp1p1p/b1qb1Bp1/2p5/1p4P1/PP1P1P1P/R3P1R1/1N1QKBN1 w - - 0 14,+774
1r5r/ppBk3p/6pn/2b5/P6P/1PN1P3/2b2P1N/R3KB2 b - - 3 22,-318
8/8/8/2B1k2p/8/4p1P1/2K5/4N3 b - - 2 47,+841
r1b1kbn1/3n1p2/1pppp1pr/pP5p/5P1P/7B/P1PPPK1R/RNBQ2N1 w q a6 0 11,+1166
r1bqkbnr/2pp3p/5pp1/p6Q/8/p3P1N1/3P1PPP/RN2KBR1 w Qkq - 0 12,-248
rnb3n1/pppk1ppr/3b4/5P2/P7/1P4P1/2PPP3/1RBQKBN1 b - - 0 13,#-1
r2k4/3pp1b1/2p3rp/p7/nR3P2/3R3P/3P4/2N1K3 w - - 0 30,-880
6nr/5k2/n2q1bp1/2R1B2p/1pP3b1/NP1P3B/4PP1P/3QK2R w - - 1 27,+431
1nb1k2r/1N2ppb1/r5p1/3p3p/3Q1P1P/PP5N/R3K1P1/2B2n1R b k - 0 20,-777
nr2k1Br/1ppq4/P4p2/8/Pb6/2PbP1PN/3B1P1P/RN2K2R w KQk - 1 19,-645
2k5/8/3B1p2/8/8/7p/7P/r5KR w - - 6 46,-451
rnq2nB1/p1p5/1p1k3P/1P6/P3N2N/4P1P1/7P/R1B1KR2 b Q - 2 28,+1761
r1b1k3/pp1p1p2/n1p5/8/1Q3P1r/1P6/P1p1P1PR/2R1KBN1 w q - 0 16,+1641
1rb1kbn1/pp2ppp1/2n5/8/4P3/1P1q4/PBPP1P2/R2K1Nr1 b - - 1 15,#-1
B4knr/8/3n1pp1/p7/p6p/7P/5P2/2B1K1NR b K - 0 25,+123
4kb2/4ppr1/1p4p1/2q1P2P/2P5/8/4P3/4KBR1 w - - 1 29,-1200
2k5/8/5p1b/8/2K1PP2/2Pr1b2/4N2B/2R5 w - - 0 30,+903
8/3B4/5P2/k7/1n6/8/1K6/1N6 b - - 3 47,+768
1nbq1bnr/3ppkp1/5p1p/1Np5/2P5/4NP2/1B1PP1PP/3RKB1R b K - 0 12,-625
1R6/8/3B4/2p2k2/4b3/7P/5K2/R7 b - - 4 39,+1200
7k/6pr/1K2pp1p/8/4P2P/2p2P2/7P/2B4n w - - 0 32,-776
8/7k/4rn2/p1pR4/7p/7P/1P6/7K w - - 2 37,-522
7k/8/2K5/6P1/4P2p/1r5P/8/8 w - - 5 47,-1025
3k4/7P/2q2p2/1p3P2/p2N4/r1P5/8/1K6 b - - 4 47,-1224
8/2pp4/2b5/8/4k3/8/4K3/7q w - - 3 48,#-5
1n1k3r/3b1rpp/p3p2n/1B3P1N/1b2KP1P/8/PPP3P1/R1B4R b - - 4 15,-1052
rn2k1nr/5p2/7b/p2pp1N1/5PP1/R1P5/1q2K3/2N2B2 w - - 0 25,-2305
1n3bn1/3p1kpr/7p/1Q2R3/3B2PP/8/5n2/1N2KBNR w K - 1 20,#+3
rnb1kb1r/1p1Rqn1p/p5p1/4p3/P7/5NpP/1PPPPP2/1NBQKB1R b Kkq - 0 10,-950
8/7p/4k1p1/8/1P6/N7/3Q1K1P/5B1R w - - 1 34,+7034
3k1N2/8/4p3/7p/8/5P2/2P3P1/1K6 b - - 4 38,+861
6nr/4p1b1/4k2p/5p1p/1RP4P/R7/3K4/8 b - - 0 31,-628
6k1/6p1/7R/4p3/8/P5B1/4KP2/6q1 w - - 0 31,-11
1n2kb2/3p4/b4pp1/5n1r/2p2Pp1/2P5/P3P3/RB2K1NR b KQ - 3 19,-1634
rnbqkb1r/6pp/3p1n2/p1P1p3/4p3/P3P2N/R1P2PPP/1NB1KB1R w Kkq - 1 11,-1144
4k3/p3n3/8/2p1p1R1/p3P3/1P3Q2/1b1P4/3K4 b - - 0 29,+1115
8/8/7P/1NP1pk2/8/8/8/5K2 b - - 0 35,+1439
Bn2kbn1/7R/4P3/6p1/3p4/6P1/3Pb3/4K3 b - - 1 32,-687
8/8/6k1/7P/R2P1P2/8/7K/8 b - - 0 50,+1504
r7/p1k2p2/Bpp5/1P2p1p1/1PP3N1/5PPN/3K4/2B5 w - - 1 28,+1110
8/8/5K1k/8/1P1Pn1P1/8/2P5/8 w - - 5 48,+825
r1bqk3/1ppp1pp1/8/p3n3/2P1n3/P7/P2P1PPR/1R2KBN1 w - - 0 13,-641
8/8/8/8/1k2Rp2/5K2/8/8 b - - 10 38,+753
rn1qk1nr/pbpp4/1P2pb2/7R/R2P4/4B3/1PPNPPP1/3QKBN1 b kq - 4 11,-209
rnb3n1/B2k4/p5pr/1P1P1p1p/5P2/3P3P/Nb4P1/1R1K2NR w - - 0 22,+211
8/5k2/1P6/1P6/P5RP/R2P4/8/5K2 b - - 10 42,+7112
1nbq1br1/2pkp2p/3B4/5pp1/r7/4PN2/R1pP1K1P/8 w - - 0 20,-2206
q4bn1/3pk1p1/rpp1p3/p3pP2/2P4P/PPB5/3P1PP1/RN3RK1 b - - 2 17,-656
rnbq2n1/p3p2r/6PB/3kPp1R/P7/2K2N2/P4PP1/4R3 b - - 0 18,-1307
1nn1k2r/2p5/8/4pppp/1p6/1K4PP/3b4/8 w - - 2 35,-2791
2rqkbnr/p1p1pppp/1pPp4/5b2/P1P2P2/6P1/1P2P2P/RNBQKBNR b KQk - 0 7,+615
rnbk4/p1pp1B1r/8/1p2p1N1/Pb1P2qp/2N2Q2/1PP4P/R1B1K2R w K - 0 17,+1904
rn6/pB2k1pr/1p3p2/5p1p/P6N/8/Q1PP1KPP/2b2R2 b - - 2 21,+1460
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+33
1r6/8/b2P4/1pK5/7k/8/8/2B5 w - - 2 49,-353
1nr5/2p2k2/1Q1p1p2/5b2/1PPp1pnP/8/1B1K1P1R/6N1 b - - 0 26,-933
3r4/2k5/2B4p/5p2/7P/1P5N/8/1N2K2R b - - 2 43,+808
rnbqkb1r/pp1ppp1p/5n2/2P5/5p1P/4P3/P1PP1PP1/RNBQKB1R w KQkq - 0 7,-463
4k3/8/p1n1pp2/P7/4BP2/1Rp5/6K1/8 w - - 0 37,+893
6r1/7r/2n2kpn/p3bp2/P1P2P2/1PN5/4K3/R7 b - - 0 31,-1838
8/8/1kp5/1pb4n/2B4P/4RN1P/2P2P2/3NKR2 b - - 0 27,+1485
6n1/4k1p1/8/n7/8/5K2/2b5/8 b - - 6 47,-1213
r1b1k3/p7/n3Np1p/P5NP/3p4/p5p1/2P1P1P1/4KB1R b Kq - 1 21,-1179
2b3nR/2qk4/4p3/8/3P2p1/P3PN2/2Pn1P2/3K1B2 w - - 1 25,-12
r1bqkbnr/pppppppp/n7/8/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 1 2,+68
4k1n1/n7/p2p1pp1/P1p5/6K1/3P4/N7/8 b - - 6 36,-927
8/8/5PR1/7P/3k4/7N/5K1P/8 b - - 0 49,+2549
rnbqkbnr/ppppp1pp/5p2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 0 2,-14
3bk3/r3q2p/3pP3/p7/P7/K7/2b5/8 w - - 1 47,-7144
b3k2r/2p2p1p/4p3/1p1p4/2B3p1/b1P1P1P1/3K3R/1N4NR w k - 0 24,+866
r4b1r/p2b2p1/4p2n/1pk4P/1P6/P3P3/4K1P1/RN4NR b - - 0 21,-650
rnbqkb1r/pppppppp/7n/8/8/P1P5/1P1PPPPP/RNBQKBNR b KQkq - 0 2,+11
2b5/r1N3p1/2k2nqp/p7/8/5PP1/2P4P/1R1K2R1 b - - 2 27,-1140
rnbqk1r1/1p2p2p/3p1pp1/p1p5/P3Pb2/2NP4/1PP2KPP/1R1Q1BNR b q - 1 10,-228
4k3/8/3p4/Q3pP1p/3P3P/5P2/7K/2B5 b - - 0 37,+2217
8/k7/1p6/3PP3/8/3K4/3N4/5R2 b - - 2 48,+1696
4k3/6b1/1p3p2/3P1K2/8/8/8/8 b - - 0 44,-1153
8/3k4/1K1p2pr/7p/5P1B/n4P1R/4B1P1/8 b - - 1 39,+336
4B3/2r5/5p1B/p3Nk2/8/6K1/8/R7 w - - 1 39,+883
8/1B2p1b1/7k/p4P2/3K4/r7/6R1/8 w - - 2 37,-37
rnb1kb1r/1p1pp2p/2p2ppn/p7/8/PP1PQPPN/2q1P2P/RNB1KBR1 w Qkq - 0 10,-258
r1b4r/N2k2pp/n4n2/1p1p4/8/P1PPK1P1/P3B2P/R1BQN2R b - - 0 17,+1357
4k3/8/7p/3K4/4Nr1P/p2P2P1/8/3R4 w - - 2 41,+1605
rnb1kbnr/pp2pppp/3p4/2p5/P1P1P3/1q6/3P1PPP/RNBQKBNR w KQkq - 0 5,+1187
rnbqk1nr/p1ppppbp/1p6/6p1/1P6/P3P3/1BPP1PPP/RN1QKBNR w KQkq - 1 5,+1179
rn1qkbnr/ppp1ppp1/3p2bp/8/8/2P1P1PN/PP1PQP1P/RNB1KR2 w Qkq - 2 8,-852
r1bqk3/1p6/8/p1b1Q1p1/P1p4r/N3n3/1PP5/R1B2RK1 b q - 1 22,-710
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+41
5k2/5p2/2p2B2/p4P1p/7P/K7/5P2/3r4 w - - 2 42,-838
4k1r1/4p1bp/5ppn/1N1P4/p4P2/3P4/PP2K1PP/R1N2B1R w - - 3 19,+1131
rnb1k1nr/p1B2ppp/4p3/1p1p4/3P1q2/8/PPPbPKPP/1R1Q1BNR w kq - 0 8,+479
5b1r/2p1k1pp/n4p1n/4P3/p1P5/1r1P1K2/P5PP/4RBR1 b - - 0 22,-1025
rn6/6r1/4P1k1/2p2p2/1p3Kn1/8/7P/5R2 w - - 1 30,-1556
rnb1kbnr/pppp1ppp/8/4p3/P7/1P4P1/2PPP3/RNBQKBNR b KQkq - 0 5,+994
1Qb2b1r/r2kB3/6Pp/4p3/8/1K2P1q1/P6R/RN3BN1 w - - 0 25,#+2
8/7b/1b1k4/8/8/6P1/r7/4K3 w - - 0 36,#-3
8/8/p7/P3P3/8/4N3/3B3k/2K5 b - - 6 47,+1966
rnbqkbn1/ppp1pp2/6pQ/3p4/P1P5/3P4/1P2PPPP/RN2KBNR w KQq - 0 7,+254
rnbqk1nr/2p2Nbp/4p3/pp1p4/P2P4/8/1PPQPPPP/RNBK1B1R b kq - 1 7,-79
r7/2Bp2b1/np2k1pr/pP5p/P1P1B2P/8/N5P1/R3K1NR b KQ - 0 26,+804
rnb1k1nr/4p2p/Q2p1pp1/q1p5/NP2P3/8/PP1B1PPP/1R2KBNR b kq - 2 11,+29
2b3r1/6p1/5k2/1B6/3b3P/2P2P1P/4N2R/3Kn2R w - - 2 30,+1144
rnb1kbnr/pp3ppp/2ppp3/8/2PP3q/1P3N2/PB2PPPP/RN1QKB1R b KQkq - 0 5,+134
1n6/1B4pp/2n1b1k1/8/1Pp5/6P1/P7/3K2R1 w - - 1 30,-4
4k1n1/4p1br/5p1p/2p5/2B5/4NP2/r5bP/2nK3R b - - 0 25,-1714
3n4/2N5/8/3r4/3k4/8/8/6K1 b - - 9 46,-598
rn1qk2r/1p1b3p/4p3/p1p5/P4p1p/1R1BPP2/2QP2PP/BN2KR2 w kq - 2 20,+1143
1n1r4/1k6/4P3/P7/b1R5/2P3P1/8/2K5 b - - 1 41,-551
r1bqkb2/3ppp2/p2r2p1/2p3B1/2PP2PP/5N2/P4P2/R3K1NR w q - 0 18,-705
4k1n1/1B6/8/2P1p2P/4P3/8/P2P4/RN1K3R b - - 8 31,+2520
4k3/8/8/8/R7/3P4/P4K1P/8 w - - 2 44,+1351
r2qk1nr/p3p1bp/p7/3p1pB1/8/3P2NP/1P3PP1/RNQ1K2R b KQkq - 1 12,+659
1k5R/8/8/8/P2rB3/8/8/4K3 b - - 1 49,+446
4k2r/1pr5/4p3/6pp/P2p4/7N/5P2/bK6 w k - 2 32,-1674
2r5/1bk1p3/p1q4p/N1p2r2/7P/2P1K3/P7/R1B2B2 w - - 0 32,-724
r1bq1bnr/pp1pkpp1/B6p/2p1p2Q/4P3/8/PPPP1PPP/RNB1K1NR w KQ - 0 6,#+1
6k1/8/6r1/8/3n4/P2P3K/8/8 b - - 0 48,-913
r3kbnr/pBp1p1p1/n4p2/4p3/3P1Bqp/8/PPP1NP1P/R3K2R b Kq - 0 16,-1222
r4knr/1bqp1ppp/p3p3/8/Pn1PP3/6PP/1P1B4/RN2KBN1 w Q - 3 17,-1028
3qkbnr/r1ppp1pp/1p6/p7/1P3P1P/2PP4/RP2KpP1/2B2NNR b k - 1 12,-1130
rn2k2r/2qNpp2/pp5p/2p5/P3P3/N4P2/RPPP2bP/2BQKR2 b kq - 0 12,-420
1n2r3/2pk4/7p/2K1p1p1/r7/8/8/2n5 w - - 8 43,-7119
4k1n1/8/pP6/2P5/6P1/r6N/2P5/1K6 b - - 2 36,-418
3k2r1/5R1p/2PK4/7P/5p2/2P3P1/8/1N1b4 w - - 1 37,+709
r1bqkb1r/1pppp1p1/7n/p4P1p/Nn5P/8/P1PPPP2/R1BQKBNR w KQkq - 2 7,+130
1n3br1/3kp1p1/7p/pp6/P3QP2/1PP2N2/6PP/RNB1KR2 w Q - 0 18,+5385
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+38
3k1b1r/r1P2p2/R6p/7p/P6q/2K5/8/6N1 b - - 0 37,#-8
r3k1nr/p4p2/PQp1b1p1/8/3b3P/NP1P3N/2P2P1P/R1B1KBR1 w Qk - 1 20,+2146
r1b2kn1/7r/1pn2p2/p1P3Np/3P4/1P5R/P5q1/3RKB2 b - - 2 22,#-4
r1k3nr/p1p1p2p/1PQ2ppb/8/1P3P1P/8/P2PP3/qNB1K1NR w K - 1 13,#+1
6r1/5r2/np1k1pp1/p2p3p/3PP2P/NP4P1/5K2/R4BNR w - - 3 31,+1168
rnbq1bn1/p2kpp2/1ppp4/8/1P6/5P2/P1PPP1Pr/RNBQKBNR w Q - 3 8,+841
r1b1k3/2p1pp2/5B2/p2p4/P5r1/2P5/RP4P1/1N2KBN1 b q - 0 21,+99
3r4/P3n1k1/5p2/7p/3pPP1P/8/7K/1N6 w - - 4 39,-745
8/5p2/1k6/2N1pP1p/6nP/5p2/2PK4/5R2 b - - 0 39,+380
N2k1bn1/5ppr/2p5/1P2p3/1P1P4/4K3/4nP2/r7 w - - 0 29,-1907
r2k3r/8/n7/1p1pN3/4R1P1/7q/2P2P2/5K2 w - - 0 32,-1681
1k6/1p4r1/r3np2/1B2p3/7p/8/3Kn3/8 w - - 9 38,-5723
6n1/4k3/2R5/8/1b6/3P3N/3R3K/5B2 b - - 10 32,+598
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+44
3r3r/1p2ppb1/3k3p/P5p1/2P3n1/N2B4/PB1P4/2R2K2 w - - 4 28,+385
4k1n1/q1p5/2rp1P2/p1pbp3/N4B1P/8/PQPP1P2/1R2KBNR w K - 4 21,+1556
rn1q2n1/p1pp1ppr/1p2pk2/6b1/6P1/N1P1P3/RP1P1P1P/2B1KBNR w K - 0 14,-575
8/p1p2p1p/2n1pP2/8/2kbK2p/8/8/5r2 b - - 0 29,#-5
rnbq1k1r/Qpp3p1/4pn2/3p3p/5P2/4P3/P2PR2P/bNB1KBN1 b - - 0 13,-1776
1k6/7r/npq2N1p/2p1p3/6PP/4PP2/P1PP1K2/R1B3NR w - - 1 22,+874
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,+36
rn4n1/1bk3p1/1p1b4/p5B1/P3R1B1/2P4P/5K2/6N1 b - - 5 24,-1061
rnb1kr2/p1pp3R/1p2p3/5p2/8/P1P1P3/P3N1P1/R1BQK3 w Qq - 0 13,+1397
rnbqk3/5p1r/2p4p/pp1pp1N1/Pb6/1P1B1KPN/2PP1P1P/R1BQ3R w q - 0 12,+623
rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq - 1 1,-91
3r4/p1p1k2n/8/1p1B4/Pb2PR2/8/6p1/nN1K2N1 b - - 3 31,-666
rn5r/1p6/p6n/2k5/3pPp2/8/PP1K1N1P/6R1 w - - 2 26,-754
r2qk2r/nbpp2p1/p4p1B/8/P3P3/2P3P1/1b2nP1P/1R2K2R b Kkq - 0 15,-1927
5k2/p6p/7p/1r5P/2P5/5p2/3Kn3/8 w - - 7 40,-1032
8/4k1p1/3R4/8/1P6/4pPP1/2P3P1/rN3KN1 b - - 0 29,+20
r5r1/pbpk2p1/2p1p3/3p1pqp/1R3P2/N3K3/3PP1BP/2B4R w - - 4 20,+755
8/1R4n1/7R/2p5/P5b1/3kP3/8/2K5 w - - 7 50,+1039
r1b5/p7/n2k2p1/4p3/6P1/3K4/4q3/8 w - - 0 29,-6037
rn3b1r/1p1Q2p1/5pkp/p7/8/P5PN/1PPP1P1P/1RB2K1R b - - 0 16,+439
rn1kr3/5p2/7p/p5pP/P7/2P1n1K1/1P2R3/6R1 b - - 0 29,-1013
8/2k5/1p6/1n6/8/8/8/3K4 b - - 0 49,-1516
4kb2/4p3/npp1b2r/4Np1p/3P1Pn1/2K1P3/1BP4P/r6R w - - 4 23,-945
3k3r/3B4/n6p/2bR2N1/8/4P3/5PPP/2B1KR2 w - - 3 25,+1647
r1bqkbnr/p1p1pp1p/2np2p1/1p4N1/1P4P1/8/P1PPPP1P/RNBQKB1R w KQkq - 0 5,+27
6r1/5R2/1n1p4/pPk5/p3P3/P1P2P2/8/1R1K4 w - - 3 31,#+1
rn2k1n1/1pq2pbr/p2p4/P3p2p/4P3/5bPN/1PPP4/2BQKB1R b Kq - 0 13,-1633
8/4p2k/Q7/2p5/2n3p1/8/8/3K4 w - - 3 42,+1012
r1bq4/p1pk3r/4p2p/4P3/1b6/3BNp2/P3NK1P/R6R w - - 0 20,-827
6n1/5rk1/n7/3p1p2/8/1K6/5b2/7b b - - 5 45,-7337
4kr2/1r3p2/p7/1P6/2P3n1/5NN1/3KP2P/b7 b - - 2 35,-947
8/1Q1p4/1k1p4/8/8/Pr1P4/3R2p1/4KBN1 b - - 0 26,+765
5knr/6p1/8/4r2p/6b1/6P1/2Kb4/8 w - - 5 37,-6521
2b1kb1r/r2p1pp1/p1N4n/4p2p/7P/1P1P4/1PqBPPPR/2RQKB2 w k - 2 14,+1001
rn1qkbnr/pp2ppp1/2p4p/3p4/2P3b1/7P/PP1PPP1R/RNBQKBN1 w Qkq - 0 5,+490
8/8/kPp5/5P1p/7P/3RP1Q1/1P6/2B2KN1 b - - 0 34,+7699
r1b1kbnr/pp2pp1p/n1p5/q2p2P1/8/1P4P1/2PPPP2/RNBQKBNR b KQkq - 0 6,-728
6r1/1k2b3/p7/P5p1/3K2P1/2P5/RP5R/8 w - - 1 31,+810
r1b1kb1r/3ppppp/8/pP2P3/5Pn1/3P2P1/1PP4q/RNB1K1NR b KQkq - 0 12,-1926
8/7k/8/2Q2P1P/1P2p1K1/B1N1P3/P7/8 w - - 2 43,#+4
8/1b5k/p7/p3p1p1/3r4/8/n7/5K2 w - - 0 46,-7141
r1bqkb1r/ppppBppp/8/8/1n4n1/3P4/P1P1PP1P/RN1QKBNR w KQkq - 1 7,+822
8/r6p/2kp2rp/pp6/2p5/8/8/1K6 w - - 2 43,-6624
r1k3n1/3b2p1/8/4pp2/8/5R2/1PK5/3N4 b - - 2 40,-834
4R3/2k5/p7/P1p5/5K2/8/N7/6R1 b - - 3 43,+1445
8/8/5P2/7k/7p/4K3/7P/8 w - - 1 45,+1387
rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1,-82
1n2kbnr/Q3p2p/2p1q1p1/1p1B2P1/4p3/2P5/2P2P1P/1RB2KNR b k - 1 15,+687
rnbqkbnr/ppppp1pp/5p2/8/7P/P7/1PPPPPP1/RNBQKBNR b KQkq - 0 2,-20
r7/8/2pk3N/8/7P/2P1K3/6B1/1R6 w - - 1 42,+947
6k1/B7/5pp1/8/4bPP1/8/5K2/1N6 b - - 5 31,0
5r2/6p1/1P1k4/8/3p2pP/b7/8/7K b - - 0 43,-2203
1k1r1b2/8/1pnp2p1/p2p4/8/1N4r1/8/K5N1 b - - 1 31,-6751
rn2kb1r/p1p1qppp/2bp1n2/1p2P3/3P4/N1K3PP/PPP1P2N/R1BQ1B1R w kq - 1 11,+107
rnbqkbr1/pp1pp1pp/2p2p1n/8/8/P1N2N2/1PPPPPPP/1RBQKB1R w Kq - 0 5,+217
8/2p1kp1p/4n3/1p2B1b1/3PP3/P4P2/6KP/RN3B1R b - - 0 22,+1696
4k3/7p/7R/5pp1/8/6KP/1B1n4/3N4 b - - 1 48,+718
8/7k/8/2R5/4P3/3B4/8/1N5K b - - 22 50,+1396
6n1/7r/8/2k3pp/2p5/5p1K/7P/8 w - - 2 49,-2068
rnbqkbnr/1p1pp1pp/2p2p2/p7/8/N1P3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 4,+11
rn1qkbnr/ppp1pppp/3pb3/8/7P/N2P4/PPP1PPP1/R1BQKBNR b KQkq - 0 3,-31
1rb2b1r/7p/2n1k2n/6p1/4PP2/PP5P/P2Q1K2/R1B4R b - - 1 21,+448
B1bk4/8/1pp3Pp/2p2p2/p1P2Kp1/4P3/2Nb4/8 b - - 1 34,-652
rnbqkbnr/pppp1ppp/8/4p3/8/N4P2/PPPPP1PP/R1BQKBNR b KQkq - 1 2,-188
r1b2rk1/1ppp1p2/p4q2/4p1PQ/8/3BP1P1/P1PP4/R1B1K1NR w KQ - 0 15,#+1
4k1n1/4b1p1/pn3p1r/3Bp2p/1P6/3P1PPq/1RPBPK2/3Q2NR b - - 1 19,+89
6nr/2r4p/1pB1k3/p3B1P1/P7/R1P5/1Pb2P2/1N2KR2 b - - 0 26,-38
r1b1kr2/p3pp1R/n1pQ4/1p6/8/PPP5/4PPP1/RN2KBN1 w Qq - 0 13,+2072
3k4/7N/8/5p2/5P1P/2NP4/4PK2/1r6 w - - 1 45,+1387
8/3n4/8/3pP3/p7/8/1K6/5k2 w - - 8 48,-946
r1b5/3p1p2/npp1k3/7p/1PP1P1r1/8/R2K3P/1N3BNR w - - 0 21,+616
3qkbr1/r1n5/p1p2ppp/1b6/P4pP1/8/1P3P1P/R1Q1KR2 w - - 2 23,-1157
5knr/8/5P1p/b1P3p1/7p/8/p5K1/8 b - - 2 40,-3394
Nn1k2n1/1p6/3p2p1/p7/P1P1b1p1/RP4K1/3P3R/5BN1 w - - 2 23,+1563
1n6/8/4n3/4k3/2K5/8/8/7B b - - 3 47,+23
5k2/8/5n2/p1P5/8/1p4P1/1P6/4KRR1 b - - 2 44,+1044
8/2k5/8/6K1/PP6/8/8/8 w - - 3 47,+1320
2R5/3k4/8/8/8/8/8/4K3 b - - 2 43,0
5N2/4p3/2k5/8/3P1p2/r7/8/B1K5 b - - 0 42,-904
1q2r3/1pn1pk1p/2p5/r2p4/3P4/2Q2P1N/PPP1P2R/R3K2B w Q - 0 21,+1165
r1b1k1r1/pp1p4/2n3p1/4B3/2P3p1/2N1P3/PP5P/R3KBn1 w Qq - 0 19,-488
1r6/p3p3/2P4k/1n5P/p7/6K1/8/b7 b - - 3 37,-6017
8/2k5/8/2Pp1B2/8/1p2Q3/1N6/5K2 w - - 2 39,#+7
rnbqkbnr/p1pppppp/8/1p6/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 0 2,+49
5k2/n5b1/1p4p1/2p1p1p1/R3r3/7N/3K3P/8 b - - 5 35,-1775
5k2/2p1p3/p3B3/P7/8/1P2P3/2PKQ2P/R1B2r2 w - - 0 29,#+5
1r2kbn1/p2p1p1r/6p1/2P1p3/7p/P2PP1P1/R2B1P1P/1N2Kb1R w K - 2 20,-610
2Q5/2k5/8/8/2P5/PP2K2P/8/8 b - - 8 48,+1214
1n2k1n1/1bp5/3q4/1P1p3r/Q4p2/7P/P2N2P1/R3K2R w Q - 2 20,-12
2b1kr2/3p4/4pnpp/1P2P3/5P2/r7/3P1N2/Q4RK1 w - - 0 22,+982
5b2/p2r4/P7/3k4/6r1/2K5/4N3/8 b - - 5 46,-1396
4kb2/p4p2/2p1p3/1b4N1/3K3r/8/q7/6RR w - - 1 25,#-4
1n3b2/1p6/3kB2p/4np1p/7N/4PP1P/3K2P1/1N3QR1 w - - 1 25,+1735
rn2kbnr/p1pb4/3p2pp/1p6/1PPp4/7p/P1QPBP1P/1RB1K1R1 b kq - 1 14,+563
1r2k2r/p1p1n1R1/8/1pn1p2p/2p1P1b1/2N1KP2/1BP5/1R4Q1 w k - 3 23,+987
3k4/8/2P3P1/1R1P1Q2/5p2/7R/4K3/5BN1 w - - 9 46,#+1
rnbqkb1r/2ppnppp/pp6/8/7P/3P4/PPP1PPP1/RN1QKBNR b KQkq - 0 4,-724
8/p7/2kp4/8/P6P/5K2/8/R7 b - - 0 46,+1387
1r2k2r/1bpqpp2/7Q/pp5p/8/P7/1b1PPPPP/RNB1KB1R b KQk - 1 13,-759
3B1k2/8/B2K4/4B3/8/1P5p/4N3/7R w - - 4 35,#+3
1n1k4/8/1P6/4pB2/8/4Pp2/3b4/3K4 w - - 1 30,+40
8/3bk2p/8/6n1/1r6/8/4N2K/8 w - - 0 45,-1198
8/2p2p2/1p3p2/2k5/8/4K3/3r4/1N6 b - - 12 49,-924
6rr/2p2b2/1N5k/p2Pp2p/5P2/P4K2/6B1/1R6 w - - 1 37,-507
rnb2bn1/3ppk2/pP3p2/2pN4/3P2p1/6P1/R1P1PP2/2QK1BNR b - - 1 19,+1619
4kb2/4p3/1pn1r3/8/1p1p1P2/8/7K/4r3 b - - 9 38,#-6
1n6/8/2b5/4p1k1/1P4P1/7P/7R/4K3 b - - 1 41,+76
r1b1k1n1/p2nppbR/2pp4/1N6/8/1P6/P2PPP2/R1BK4 w q - 0 14,+338
1rb2bnr/p1kqp1pp/1p6/4Np2/2p5/P6N/1P1PPPPP/R1B1KB1R w KQ - 2 12,+146
rnbqk1nr/pp1p3p/2p3p1/4pp2/5P2/P1PPP3/P5PP/R1BQKBNR w KQkq - 0 7,+201
